시군구명,0~19세_인구수,0~19세_장애인인구수,장애인인구수_비중,특수학교,특수학교_학생수,특수학교_선생수,학생수/선생수,특수학급_유치,특수학급_초등,특수학급_중등,특수학급_고등,특수학급_총계,국내대학진학자,전문대,국내대학진학수,일반고_대학진학,전체_대학진학
강북구,"299,182","17,395",0.058141867,4,419,171,2.450292398,7,22,12,12,53,697,394,1091,0.421927,0.407364
노원구,"510,956","26,904",0.05265424,2,442,163,2.711656442,5,43,24,20,92,2661,1383,4044,0.506126,0.405578
중랑구,"387,350","20,357",0.052554537,0,0,0,0,6,39,16,15,76,851,535,1386,0.460224,0.413307
강서구,"574,315","28,546",0.04970443,2,262,91,2.879120879,9,48,10,11,78,2043,1073,3116,0.471524,0.406891
금천구,"230,811","11,458",0.049642348,0,0,0,0,4,28,10,7,49,633,282,915,0.489496,0.455724
도봉구,"317,366","15,300",0.048209323,1,112,49,2.285714286,4,27,10,12,53,952,446,1398,0.461282,0.451399
구로구,"396,754","18,374",0.046310812,2,432,167,2.586826347,5,39,17,9,70,1167,811,1978,0.430439,0.387965
동대문구,"337,400","15,518",0.045992887,0,0,0,0,3,30,14,9,56,1032,404,1436,0.503759,0.451641
중구,"122,499","5,634",0.045992212,0,0,0,0,1,11,6,2,20,715,400,1115,0.529981,0.314424
은평구,"473,307","21,756",0.045965938,1,236,77,3.064935065,8,40,14,14,76,1660,846,2506,0.478292,0.406962
관악구,"485,699","20,211",0.041612192,2,260,106,2.452830189,11,37,16,9,73,1215,549,1764,0.492428,0.396411
종로구,"144,683","5,929",0.040979244,4,423,189,2.238095238,0,13,2,3,18,1390,363,1753,0.487805,0.494134
서대문구,"304,819","12,311",0.040387902,1,101,40,2.525,3,25,8,6,42,921,253,1174,0.522241,0.53237
성북구,"430,528","17,382",0.040373681,1,84,40,2.1,6,38,12,9,65,1164,394,1558,0.479695,0.436445
강동구,"462,664","18,614",0.04023222,2,341,106,3.216981132,8,37,17,12,74,1651,635,2286,0.479332,0.462206
성동구,"285,990","11,284",0.039455925,0,0,0,0,4,27,9,14,54,649,419,1068,0.423849,0.379754
양천구,"447,302","17,525",0.039179346,0,0,0,0,5,33,15,12,65,1770,728,2498,0.443933,0.433293
영등포구,"376,837","14,495",0.038464907,0,0,0,0,4,32,13,18,67,785,420,1205,0.425141,0.41403
동작구,"385,483","14,417",0.037399833,2,135,55,2.454545455,3,28,11,12,54,745,377,1122,0.489101,0.385212
광진구,"339,996","12,253",0.036038659,1,138,53,2.603773585,3,20,7,6,36,1184,396,1580,0.434906,0.499367
마포구,"368,905","12,945",0.035090335,1,177,74,2.391891892,3,32,13,6,54,740,393,1133,0.469659,0.400433
용산구,"222,953","7,686",0.034473633,0,0,0,0,1,20,8,9,38,726,319,1045,0.481667,0.397373
송파구,"658,338","20,356",0.030920287,2,222,69,3.217391304,10,45,16,19,90,2098,927,3025,0.46359,0.443552
강남구,"533,042","15,182",0.028481808,2,333,113,2.946902655,7,35,13,10,65,2618,486,3104,0.484888,0.450991
서초구,"412,279","10,291",0.024961252,2,319,122,2.614754098,7,25,9,10,51,1456,279,1735,0.443216,0.452596
